date,areaName,areaCode,newCasesBySpecimenDate,cumCasesBySpecimenDate,newCasesByPublishDate,cumDailyNsoDeathsByDeathDate,hospitalCases
2020-11-30,England,E92000001,15026,1429827,10869,66365,13756
2020-11-29,England,E92000001,8902,1414801,10054,65980,13521
2020-11-28,England,E92000001,9205,1405899,13323,65557,13208
2020-11-27,England,E92000001,12267,1396694,13557,65168,13754
2020-11-26,England,E92000001,12274,1384427,14637,64781,13908
2020-11-25,England,E92000001,13931,1372153,15893,64401,14240
2020-11-24,England,E92000001,14028,1358222,9854,63965,14506
2020-11-23,England,E92000001,16204,1344194,13329,63542,14712
2020-11-22,England,E92000001,10038,1327990,16668,63113,14354
2020-11-21,England,E92000001,10618,1317952,17615,62693,14118
2020-11-20,England,E92000001,14678,1307334,17845,62280,14236
2020-11-19,England,E92000001,15498,1292656,20291,61873,14479
2020-11-18,England,E92000001,18210,1277158,17189,61466,14490
2020-11-17,England,E92000001,20318,1258948,17549,61022,14411
2020-11-16,England,E92000001,23720,1238630,19423,60644,14313
2020-11-15,England,E92000001,14209,1214910,21998,60282,13886
2020-11-14,England,E92000001,16032,1200701,24298,59907,13399
2020-11-13,England,E92000001,21648,1184669,24540,59540,13328
2020-11-12,England,E92000001,21955,1163021,30843,59188,12967
2020-11-11,England,E92000001,24635,1141066,19970,58831,12730
2020-11-10,England,E92000001,24469,1116431,18622,58514,12033
2020-11-09,England,E92000001,28100,1091962,19036,58185,12259
2020-11-08,England,E92000001,17963,1063862,18293,57781,11680
2020-11-07,England,E92000001,16620,1045899,21875,57434,11514
2020-11-06,England,E92000001,20828,1029279,20268,57086,11181
2020-11-05,England,E92000001,20871,1008451,21137,56747,10994
2020-11-04,England,E92000001,20690,987580,21863,56447,11037
2020-11-03,England,E92000001,22309,966890,17330,56164,10971
2020-11-02,England,E92000001,27932,944581,15860,55860,10397
2020-11-01,England,E92000001,13370,916649,20602,55581,9623
2020-10-31,England,E92000001,14342,903279,18864,55298,9782
2020-10-30,England,E92000001,19643,888937,20821,55021,9295
2020-10-29,England,E92000001,19960,869294,19740,54737,9127
2020-10-28,England,E92000001,20231,849334,21245,54484,9070
2020-10-27,England,E92000001,20482,829103,19629,54256,8595
2020-10-26,England,E92000001,22756,808621,17883,54030,7856
2020-10-25,England,E92000001,13163,785865,16487,53812,7612
2020-10-24,England,E92000001,13520,772702,19332,53605,7176
2020-10-23,England,E92000001,18101,759182,17116,53431,6842
2020-10-22,England,E92000001,19609,741081,17354,53248,6345
2020-10-21,England,E92000001,21484,721472,22948,53062,6271
